pwd,"Print working directory",1
ls,"List files and directories in current working directory",1
cd,"Change current working directory",1
mkdir,"Create a directory",1
rmdir,"Delete a directory",1
rm,"Delete a file",1
cp,"Copy",1
mv,"Move a file",1
ssh,"Access a remote machine over a network",2
scp,"Copy file between machines",2
man,"Manual page",2
g++,"GNU C++ compiler",2
gcc,"GNU C compiler",2
make,"Build system",2
ps,"Displays process information",2
kill,"Terminate a process",2
top,"Monitor system processes",2
who,"Displays logged-in users",3
chmod,"Change file permissions",3
cat,"Displays file contents",3
alias,"Creates an alternative name for a command",3
chown,"Change file owner",3
df,"Displays free disk space",3
grep,"Finds text",3
echo,"Displays text",2
find,"Finds files",4
clear,"Removes all text from the terminal",1
diff,"Reveals differences between files",2
env,"Displays environment variables",4
free,"Displays free memory",3
